Timestamp,What type of phone do you have?,What was your undergraduate major?,How many cups of coffee/tea/energy drinks do you usually have in a typical day?  ,How many hours do you sleep in a typical night?,What is your favorite sport to watch on TV?,"On a scale from 1–10, how confident are you in your data science skills? ",How many hours do you spend outdoors in a typical day?,How often do you use AI tools? ,"What is your ideal outdoor temperature, in Fahrenheit?","How many hours do you spend on your phone in a typical day? (Android:  Go to Settings > Digital Wellbeing & parental controls > Show Your Data.
iPhone: Go to Settings > Screen Time > See All App & Website Activity > Devices.)",Do you listen to music while studying? ,What is your favorite genre of music?,How many US states have you set foot in?,What is your favorite season of the year?,"What's your favorite study environment: library, coffee shop, dorm, outdoors, other? ","In one word, how was your summer?"
8/27/2025 10:05:16,Mac,Applied & Computational Mathematics,0,7,Football,7,2,Often,68,3 hours,Yes,Pop,39,Fall,Dorm,Crazy
8/27/2025 10:05:19,Mac,Economics,1-2,7,Soccer,6,1,Sometimes,75,5,Yes,EDM/House,20,Summer,Library,Unreal
8/27/2025 10:05:19,Mac,Industrial engineering,1 to 2,6,Basketball,6,3 to 4,Always,68,2 to 3,No,Techno,6,Fall,Home,Amazing
8/27/2025 10:05:24,Mac,Economics,1,7,Football,3,2,,70,4,Yes,Rock,43,Spring,Outdoors,Interesting
8/27/2025 10:05:27,Mac,Biology,5,8,College football,5,3,Sometimes,65,5,Yes,Country/Folk,15,Fall,Library,Fantastic
8/27/2025 10:05:32,Mac,Computer Science,1,7,Football,6,4,Often,75,5,No,Jazz,20,Summer,library,Fun
8/27/2025 10:05:35,Mac,Biomedical Engineering ,2,6,Basketball ,4,0.5,Often,65,18,Yes,Rap/R&B,6,Fall,Coffee shop,Exciting
8/27/2025 10:05:42,Mac,Applied computer science,1,4,formula 1,8,2,never,20,8,Yes,Pop,24,Winter,In my office,Busy
8/27/2025 10:05:44,Mac,Statistics,1-2,8-10,Football,8,2,Sometimes,70,4,Yes,Pop,30,Winter,"coffee shops, library",relaxing 
8/27/2025 10:05:45,Mac,Public Policy,0,6.5,College Basketball ,6,4,Sometimes,72,5,Yes,Indie,35,Fall,Library,Uneventful 
8/27/2025 10:05:54,Mac,International Affairs,2,7,Soccer,3,2,Often,72,2,No,Rock,30,Fall,dorm,work
8/27/2025 10:05:58,Mac,Cognitive Science ,0,7,Basketball,7,2,Sometimes,75,7 hours,Yes,R&B,11,Spring,My desk,Exciting
8/27/2025 10:06:08,Mac,DS,0,6-7,Basketball,8,1-2,Often,69,9,Yes,Rap/Rock,15,Fall,Anywhere other than my house,Busy!
8/27/2025 10:06:09,Mac,Computer Science,1,8,Soccer,7,3,Often,75,2hrs 58min,No,Rock,6,Fall,Library,Okay
8/27/2025 10:06:10,Mac,Statistics,1,7,Basketball,6,1,Sometimes,80,4,No,R&B,8,Summer,library,Reflective
8/27/2025 10:06:16,Mac,Applied Statistics and Economics,1,7-8,F1,8,3,Always,70,4,Yes,Country,22,Fall,Library,Busy
8/27/2025 10:06:17,Mac,Commerce,1,8,Tennis,6.5,2,Often,75,5,Yes,Indie,23,Fall,Coffee shop,adventurous
8/27/2025 10:06:17,Mac,Electrical Engineering ,One,8,Snooker,4,,Often,70,2,No,Pop,1,Summer,Library,Amazing
8/27/2025 10:06:30,Mac,Economics,2,7,Soccer,5,2,Often,75,6.5,No,R&B,12,Summer,Coffee Shop,Busy
8/27/2025 10:06:37,Mac,Applied Statistics and Economics,4,8,Football,8,4,Often,68,5:45,Yes,Rock/Metal,11,Summer,Home,Fast
8/27/2025 10:06:38,Mac,Information Science,0,8,Soccer,5,1,Often,73,5,Yes,Rap,30,Winter,Bedroom,Relaxing
8/27/2025 10:06:40,Mac,Applied Statistics,0,8,Soccer,6,1,Sometimes,68,7.5,No,Pop,24,Spring,Dorm,Adventurous
8/27/2025 10:06:41,Mac,Statistics,0,8,Basketball,6,1,rarely,71,2.5,No,Alternative Rock,11,Spring,Bedroom,Lackluster
8/27/2025 10:06:45,Mac,Statistics,0,7,Basketball,7,2,Sometimes,73,6,No,Pop,17,Spring,Library,Repetitive
8/27/2025 10:06:51,Mac,Game Design & Development,0,10,N/A,2,4,Often,72,4,No,Classic rock,9,Fall,home,perfect
8/27/2025 10:06:55,Mac,Business (Marketing & Management) ,2,7,Track & Field ,3,4,Sometimes,75,6,No,R&B,11,Fall,My Room ,Busy 
8/27/2025 10:06:55,Mac,Astronautical Engineering,2,8,Soccer,3,2,Often,62,3,Yes,Indie,34,Winter,Home at my desk,Transformational
8/27/2025 10:06:59,Android,History/ American Studies ,2,7,Soccer ,4,1,Sometimes,72,1.25,No,Classical ,40,Fall,Office ,Scheduled
8/27/2025 10:07:00,Mac,Environmental Science and Environmental Thought & Practice ,1-2 ,6-8,hockey (if i ever watch sports) ,3,2ish ,rarely,68,probably 4-6,Yes,anything but country ,10,Winter,coffee shop or my apartment ,ok 
8/27/2025 10:07:04,Mac,Statistics,0,7,,6,1,rarely,60,8,Yes,afrobeats,10,Fall,study room,relaxing
8/27/2025 10:07:04,Android,Statistics,1,8h,soccer,7,1h,Sometimes,70,4h,No,pop,12,Summer,dorm,wonderful
8/27/2025 10:07:05,Mac,Accounting,2,8,I don’t usually watch sports,6,1,Often,77,2,No,Jazz,8,Fall,Indoor by the window when it’s raining outside,Fantastic
8/27/2025 10:07:10,Mac,Applied Statistics at UVA,2,"6,7",Golf or soccer,6.5,"1,2",Often,74,4,No,House,15,Fall,Coffee shop or library,Memorable
8/27/2025 10:07:18,Mac,Special education ,I only drink coffee if it’s really sweet. I am usually a can of soda girl,7-8,None I watch reality tv,3,1,Sometimes,65,8,Yes,Pop,9,Spring,Living room,Restful 
8/27/2025 10:07:20,Mac,Psychology,1,8,Basketball,6,2,Often,65,4,Yes,Pop,21,Fall,Coffee shop,Relaxing
8/27/2025 10:07:23,Mac,Financial Engineering,0,8,Baseball,7,2,never,67,4,Yes,EDM,17,Fall,Library,Busy
8/27/2025 10:07:24,Mac,Economics,0,8,Soccer ,6,3,Often,77,8,Yes,folk,3,Summer,bedroom,Good
8/27/2025 10:07:36,Mac,Mechanical engineering ,3,4,None,1,2,Often,60,3.5,No,Hardcore/punk,20,Fall,Home office,Busy
8/27/2025 10:07:37,Mac,Fine Arts,1,8,Basketball,5,3,rarely,70,6,Yes,Indie,10,Fall,Coffee shop,Humid
8/27/2025 10:07:41,Mac,Computer Science,0.5,8,Basketball,10,1,Often,80,4,Yes,Country,23,Summer,Academic Building,Awesome
8/27/2025 10:07:59,Mac,Computer Science ,0,9,Soccer,7.5,3,Often,68,8,No,Hip-Hop,5,Summer,School Rooms,Refreshing
8/27/2025 10:08:02,Mac,Computer Science ,1,7,Soccer,5,2,Sometimes,70,4,Yes,Pop,25,Fall,Coffee shop,Exciting
8/27/2025 10:09:17,Mac,Anthropology,0.5,8.5,Hurling,7,1,rarely,65,4.5,Yes,Folk rock,26,Fall,Good chair,Relaxing
8/27/2025 11:05:07,Mac,Financial Engineering,0,7,Basketball,4,4,Often,65,6,No,Rock,35,Fall,Library ,Productive 
8/27/2025 11:05:13,Mac,Statistics,1,7,Hockey,2,3,Often,70,8,No,Indie pop,6,Fall,Student health,Uneventful
8/27/2025 11:05:42,Mac,Commerce ,"y = mx+b where b is 1 coffee and m is correlated to sleep the night before. On average, I have about 2.5 total (y). ",Not enough. ,Basketball,1,3,Sometimes,65,3.5,Yes,EDM,14,Fall,Library ,Vibes 
8/27/2025 11:05:43,Mac,Data Science,1,9,Football,8,1,Always,75,8,No,Hip-Hop,50,Fall,Library,Restful
8/27/2025 11:06:06,Mac,Systems Engineering ,1,7,Basketball,6,2,Often,68,4,Yes,rock,26,Fall,Library,Fast
8/27/2025 11:06:07,Mac,Computer Science,0,6,Baseball,8,3,rarely,72,8,No,Pop,17,Spring,My room,Rigorous
8/27/2025 11:06:17,Mac,Sport Analytics,1.5,8,Tennis,7,2,Sometimes,71,6 hours and 38 minutes,Yes,Alternative,28,Spring,Library,Good
8/27/2025 11:06:18,Mac,Economics,1,7,College basketball ,9,1,Always,68,4,No,Reggaeton,36,Fall,Library,Chaotic 
8/27/2025 11:06:21,Android,Chemical Engineering,3,6,Football,5,4,Often,70,3,Yes,Instrumental,5,Fall,Cafe,Interesting
8/27/2025 11:06:22,Mac,Statistics,1,7,Baseball,7,4,Often,65,8,Yes,K-pop ,13,Fall,library,instructive
8/27/2025 11:06:23,Mac,Public Policy,0,6,Soccer?,5,2,Sometimes,70,5,Yes,Rap,7,Fall,Library,Restful
8/27/2025 11:06:26,Mac,Statistics ,1-2,9,Soccer,6,3,Sometimes,70,7,Yes,alt/indie ,31,Fall,Shannon Library Floor 3,corporate
8/27/2025 11:06:31,Mac,Applied Statistics,1-2,6-7:30,Tennis,6.5,3,Sometimes,75,3-4,No,Rock/pop,30,Spring,Outdoors,Awesome
8/27/2025 11:06:31,Mac,Environmental Data Science,0,9,American Football,6,5,Sometimes,65,5,Yes,Trap,15,Fall,Library,Fun
8/27/2025 11:06:38,Mac,Systems Engineering,1,7,Volleyball,8,2,Often,80,8,Yes,RnB,20,Spring,coffee shop,Chill
8/27/2025 11:06:39,Mac,Statistics,1,9,Hockey,3,2,rarely,65,4,Yes,Pop,15,Summer,Library,Fun
8/27/2025 11:06:41,Mac,Astrophysics,2,7,Football,6.5,3,Often,71,7.5,Yes,Alternative,29,Fall,Coffee shop,Relaxing
8/27/2025 11:06:42,Mac,Computer Science and Economics,1,7,Swimming and Football (close),7,0.5-1,Always,Mid to high 70s,7,Yes,80s pop,26,Winter,Classrooms,Rollercoaster 
8/27/2025 11:06:42,Mac,Statistics,0,7,Baseball,2,2,Often,70,7,Yes,Funk/Yacht Rock,36,Fall,Library/,Uneventful
8/27/2025 11:06:54,Mac,Psychology,1,7,Basketball,3,2,Often,70,5.5 hrs,Yes,RnB,6,Spring,Library or reading rooms,Invigorating
8/27/2025 11:06:55,Mac,Math,0,8.5,Basketball,8,3,Often,85,5,Yes,Rap,25,Spring,"Library, dorm",Chill
8/27/2025 11:06:56,Mac,digital narrative and interactive design,0,6-7,basketball ,6,1,never,71,10,Yes,pop punk/riot grrl ,9,Fall,my room or the library ,boring 
8/27/2025 11:07:07,Mac,Statistics with a concentration in data science,usually 0 but like to treat myself to 1 ,6,basketball or beach volleyball ,4,5,Sometimes,73,3,Yes,rnb ,18,Fall,coffee shop or library ,FUN
8/27/2025 11:07:10,Mac,Accounting,0-1,Not enough 🥺 maybe 4-6,I rarely watch TV but enjoy video games 😁,5,2,Always,75,8,Yes,R&b but typically based on daily mood,12,Fall,All! Depends on health/wellness needs,Depressing 🥺
8/27/2025 11:07:12,Mac,Computer Science,0,8,Football,4,2,Often,75 degrees,4 hours,Yes,Country,20,Summer,Library,Exciting
8/27/2025 11:07:13,Mac,Data science,1,7-9,Track n field ,8,3,Often,70,4,No,Soft pop,20,Fall,Coffee shop,Chaotic
8/27/2025 11:07:17,Mac,Biology,0,7,Soccer or F1,5,3,Sometimes,75,4,No,Reggaeton ,8,Fall,Library ,Relaxing
8/27/2025 11:07:18,Mac,Industrial and Systems Engineering ,0,7,Football,5,2,Often,80,5,Yes,EDM,20,Fall,My room ,Chill
8/27/2025 11:07:20,Mac,Plant Biology ,0,5.5,NFL Football,6,7,Often,70 degrees,9 hours,Yes,80s Music,5,Summer,Library,Legendary!
8/27/2025 11:07:22,Mac,Economics,2,8,Basketball,7.5,3,Often,60,2.6,No,Folk,28,Fall,Library,Amazing
8/27/2025 11:07:23,Mac,Applied Statistics,0,7-8,Golf,8,1,Often,65,8.5,Yes,Kpop,8,Fall,My house,Hot
8/27/2025 11:07:23,Mac,Electrical engineering ,2 (coffee),8,Football,7,3,rarely,74,5,No,Classic rock,40,Spring,Dorm,Grand
8/27/2025 11:07:29,Mac,Computer Science ,0,8,Cornhole,9,4,Often,74,6,Yes,Country/Folk,12,Fall,Library,Chill
8/27/2025 11:07:29,Mac,Foreign Affairs,2,7,Olympic Women’s Gymnastics,5,4,Sometimes,60,4,No,Bluegrass,28,Fall,Backyard ,Stressful
8/27/2025 11:07:35,Android,Commerce ,2,8,None,6.5,7,Often,75,4,Yes,Pop,3,Summer,Coffee shop,Peaceful
8/27/2025 11:07:35,Android,Computer Science,0,7,Football,6,4,Sometimes,75,6,Yes,Pop,27,Fall,Library,Exhilarating
8/27/2025 11:07:50,Mac,Applied math ,0.5,8,Basketball ,2,2,Sometimes,68,4,No,Hip hop,14,Spring,Library,Eh
8/27/2025 11:07:59,Mac,Computer science ,0,9,Supercross,6,2,Sometimes,68,5.5,No,,14,Winter,Dorm,Calm
